review_text,label
Food is above average but not so great. My friend wanted to go here but I did not like the atmosphere because all the customers were drunk. The waiters were drunk too because you can smell it when they talk. If you do not drink alcohol like me then you would not like the atmosphere . Food is spicy probably because they focus on drunk customers. I do not drink alcohol so I can taste spices very quickly.,0
So unfortunately the experience was not good. The first day I made an order and I was very impressed with the food quality and quantity. The second day I ordered and it was half size even though I ordered large. Called the restaurant and all they did was pass me from person to person and it was not resolved. So the second time the boxes were large as the order was a large but it was mostly empty.  So beware its hit and miss with quantity and quality. They lost a potential regular customer for something they could have easily fixed.,0
Not had the greatest experience at my first visit at the end of 2021. The waiter was clearly drunk and messed up our order. He even lost the debit card we used to settle the bill. We found it lying in the floor at the cashier. The food is good. It was the only reason to have good impression at the first time.,0
One of the best places for sea food delicacies. Food is delicious and place has nice ambiance. On the beach dining option is available and best during dusk. Band is there to provide live music. This place could get crowded during weekends. Price is not too expensive. Staff is friendly and efficiently provide service. Good place to chill and relax listening to music.,1
"Been coming here a lot over the past few years, the atmosphere is great, food is good  but the service not as great. The music is too loud and flat out deafening if you did close to the dealers. The biggest drawback is the pricing... it is now reficulously expensive.",0
"I ordered hot but got a stew instead, no excuses just constatation they call it hot pot. Shame on you guys.",0
"Mesmerizing sunset view
Awesome food
Romantic ambience
A must visit place",1
"Had a really bad experience ever happened. Had a dinner with a foreign well recognized professor at here. Five of us consumed 1 wine bottle, 1 lemon gin bottle and 10 extra lemon gin shots together. But the bill indicated as 40 shots. Really unprofessional service done by them. Never recommend this place anyone. If 40 shots + 750 ml by 5 person in 3 hours, would it be possible????",0
"I don’t usually give low ratings, but……
Went with 6 people at 3 pm waited 25 mins and waiters ignored us for some reason even when we called. We went and talked to one of them after and they said they’re waiting for a shift change……. So we just left after 40 mins of just sitting there…
This has never happened anywhere else in Sri Lanka. This was beyond the worst service I thought I had before.
Definitely won’t go back",0
"It's a generic place for team meetups but the food, service and ambience is the most basic for a beach location. They do have a byob option which is good for people who booze since what's on offer just like the food is a bit on the expensive side.",0
"Amazing food and ambience. Everything that we ordered was great. The must try from our choices were Nasi goreng, Mongolian chicken wings. However the seafood sizzler was priced on the higher side. Otherwise the overall menu was cost effective as the quantity was sufficient.",1
Good food. Booze is a bit pricey. Service is a bit slow on Friday's and saturdays due to the large crowd but overall nice place to be.,1
"A great place to relax with your friends with a few drinks and watch the sunset with your feet in the sand.

You can take your own hard liquor without having to pay corkage provided you order enough bites.

Live music most nights.",1
Clam place to enjoy the foods. Delicious foods and we can bring our own alcohol and if we buy the foods etc they won’t charge extra fee for our bottle. We would like to visit again. Well recommend,1
"Good service. Tasty food. Staff very accomodative and friendly.
(please check your chairs. As the chair I was seated broke and I landed on the sand.)",1
"Amazing place, very inviting, the ambience is very soothing given it's on the beach, and some old school music played by a live band.

I was told that they got their bar set up now so you can go for nice beer. The food is amazing as well. If you do everything visit the Barracuda, see if you can get a table out in the beach. It's pretty nice.",1
I just loved this place. Cashews is one of the best dish they serve to vegetarians. Excellent service and value for money. Weekend nights are best to hangout.,1
Horrible customer service. We sat down and ordered two drinks but the waiter just stood there trying to make us uncomfortable and get us to order something more. Then he refused to serve us and said that they will only serve two people if the bill is going to be more than 4000. His tone alone was enough for me to get up and leave.,0
"Quite a good place to have dinner with your loved ones, family and friends. They have table arranged on the open beach as well as in-house. I always prefer the open beach is it gives the feeling of a beach restaurant.

The ideal time is after 6.30 when they put on the lights which bring up the romantic mood. You can take your boose from outside as they do not have liquor. Food is average and service is not up to the expected level. The waiters kind of lazy when we go there. Had to ask a couple of time the same thing. It could be me but generally, it's a good place to spend the evening.",0
Average food. Not so worth for the price. Average washrooms. Three stars only for the friendly waiter. However some of the staff members seem to be drunk during work.,0
"Beautiful setting on the beach shade with trees. You can find various types of sea food and many other stuff here. But the cocktails were not good for us and some foods were not worth for the price.. Food was expensive. Nice place to have a chill out with friends and family.
Finally You will be surprised with bill  (Vat + Service Charge).",0
"Food, Location, Ambience is good.. I must say it was one of the worst experience in terms of making reservations..
made multiple calls back and forth to get the correct information for a group reservation.",0
"Great spot for dinner
We had good food an a good service. The staff were really friendly and helpful and the food arrived within good time. A really nice place for a relaxing dinner with the soft music playing on the background. The dish of the day which was Shanghai Style Fried Noodles with chicken was amazing !.A must try. I definitely recommend this place.",1
Good place to have a chilled beer or hard liquor. Location is good and they have nice outdoor seating. Also you can enjoy their meals too. Bit expensive but food and bites are really good,1
Love the experience. The band was amazing.,1
Lovely location next to the Dehiwala beach. Clean & tasty food. Bit expensive but great service & excellent location to go with family too.,1
"Delicious dishes!!
Located right along the Indian beach.Open Dining to feel the sea free while enjoy the sand under feets.

Best location to have drinks from lich and night time.

Indoor dining area also available with conditioned space.

Live music programs are arranged by the management regularly.

Dishes are costed from 200SLR onwards
Average small dishes are started from 400-800 SLR for various items.

Bottles prices also reasonable.

Highly recommended.Advance booking also possible.

Card payment is also accepted.

Car park can be made right along the newly opened marine drive.",1
Great place to have meals. Space available for small gatherings. Sea Food is excellent 👌service is quality 👍✨,1
Barracuda is a well known beach side restaurant in Colombo. We went on a Poya day evening so they didn’t have any liquor options. But their mock tails were good. I highly recommend their hot butter cuttlefish. It was so yummy 😋 This is a nice place to watch the sun set while zipping a beer. The restaurant start getting crowded after 6.30 or 7 in the evening. Prices are reasonable but staff wasn’t  fully attending to serve us and we had to give them reminders,1
"Lovely place to have your dinner with your family and friends. Very taste and very hot food, mainly the mixed grill sea food is great. You can bring your own alcohol bottle and use it in the restaurant without any charge. Good sea food variety is available.  Price are reasonable. Very friendly service. View is very good (on the beach). Highly recommended.",1
"Undoubtedly one of the best beach side restuarants in town. Location itself has a great ambiance, specially at night. They have seating inside and outside under the shade of mangroves as well as out in the beach with calming sea breeze. This place is ideal for a hangout and have a drink.
Service at barracuda is top notch owing to the wonderful staff who are friendly and attentive. Service is fast too.
Their menu is pretty extensive and all the dishes we tried were absolutely great while hot butter cuttlefish which was crispy and crunchy, not too spicy and fried to perfection here stands out from the rest as the best. Similarly hot butter prawns, devilled pork and indonesian style chicken accompanied by a creamy gravy was pretty good too. Rice and noodles dishes didnt have any artificial flavours so their taste was enhanced with the other dishes we tried. Sizzling Mixed meat grill and sea food grill were worth the price as they contained plenty of items in it. Judging from the portion size,quality and taste the dishes were absolutely worth the price.",1
"Excellent place that i have visited. The hotel outside covered with trees and we can sit and have fun under those trees. We'll have functions, parties on this hotel. There we can arrange tables on the seashore too. We could see the sun set at the evening time very clear.",1
"Date: 10/4/2021. Time: evening around 5:30pm. Yesterday, we had a disappointing experience at Barracuda Restaurant. We were planning to spend the entire night at Barracuda upon seeing the pictures, until the moment we left as soon as we experience a bad time. Not just the service was very slow, we were mislead by the servers to think that the Mixed Grill plater will have plenty of meat items. Unfortunately, when the food arrived, it was barely enough for 1 person because it had 1 sausage, couple of small pieces of liver, 1 half boiled egg and other burnt meat underneath which we couldn't figure out what it was and the half of the plater was covered in vegetables.

We immediately requested the manager at that it was around 6:30 pm. When the manager arrived, we were surprised to see how he was acting. I don't know whether this gentleman was under the influence of alcohol or what, but clearly he was not responsive with answers.

When we asked the manager, why in the menu it clearly says meat plater and the meat mentioned is clearly described in plural form as in sausages etc but in reality it was just 1 sausage. His response was this is the standard size whether you like it or not.

Then I ask do you really think this mixed grilled meat plater is enough for 3 people as your server described. His response was, ""I can give you more vegetable or salad to cover up the lose"".

So I immediately said to the manager, what you are doing is very bad. You gave the impression that we will get a load of meat but the portion of mixed grill plater worth Rs. 3200 is only enough for 1 person. It is unfair and unjust. We didn't want this incident to ruin our mood and destroy our night so we immediately requested for Bill, paid and left.

While we were leaving the server and security asked us to make a review so the owner apparently, Gihan Bandara would read this and take it seriously.

For love of God please avoid this place at all cost. There are better places next to this establishment which take care of the customers way better and at a reasonable cost. I have attached the receipt of the bill and picture of the plater.
I feel like we got scammed. I will never come to this place and I will make sure that my friends avoid Barracuda as well.",0
"I got a chance to spend that evening together with her.. Wow place.. anyone will be warmly welcomed by Baracuda but food wasn't up to my expected standard. Calm quiet sandy beach and whistling wind gave us life. Moreover they're really concerned about our safe side..for that they already have guards even to check whether there's trains coming on railway.to confirm safety when crossings.
No parking space available. You just have to park along the road.",1
"Service was very bad and we had to wait so long to order.
We have asked them to arrange a table for our anniversary celebration but it wasn’t arranged.
Too bad service.",0
"Well, I wanted to explore this place for some time. However, it prevented due to heavy traffic jam around due to construction of a bridge. Initially I thought of going to “The Station” where I knew the place & visited several time. As I was SOLO ran out of partners, bit hesitant to go out.

First of all I wanted to find good place, watch LPL Cricket Match while having my dinner. As I have had Cricket practices in the afternoon, wanted to sip a beer. Alas ! No Corona. I mean the beer. However they had an offer during LPL. That is for 4 pints of Heineken for 1200/- nett., ordered that along with my vegetarian dinner. A steamed rice, 4 variety of mushroom chopsuey kind of dish. I felt five star. The bartender is also a nice guy.

Very decent place. Women group are also enjoying. But beware of Trains when you go back.",1
"3.5 stars.
Great location next to the beach. But it is not a high end place. The food and beer is good. The staff is courteous but service not exactly quick.
The entrance is quite odd. You need to cross railway tracks to get into the restaurant.
Overall, not a based place to spend the evening",0
Nice place to chill in the evening with frends and familly. Place is decorated with beautifull lighting and seating arrangement. Bar and band music are available. Mount lavinia beach is adjacent to this place with plesent scenery.,1
"This has been serving wonderful Thai, Chinese and grilled seafood for almost 4 years now.

The ambience is just what you need to relax your mind and enjoy a hearty meal. It’s a restaurant situated amidst screw pine trees.
The view that you see is that of the sea and  the sky changing with time, adding color to the experience. The chairs are set under the trees, under sheds and also on the coast.
Dinner is served under candle light and also fire torches lighting the sand.

The food is on point. The perfect dishes with probably the best chefs. Hot butter cuttlefish is one of their expertise. The sweet corn soup is lovely and fills your heart. The main dishes are mouthwatering and the best in Dehiwala.

The staff are very friendly and professional. They greet you with a smile and are always ready to make the stay comfortable.

Earlier they did not serve alcoholic beverages but the customers were allowed to bring in their own. Now they’ve started serving alcohol. A mug of Carlsberg beer is priced at 275/- and so on.
They have Shisha as well the usual flavors, priced at 1600/-.

There’s ample amount of parking on the Marie drive guarded by the restaurant management.

It’s better to reserve a table over the phone before visiting it as it’s mostly packed.",1
Great food...but the staff is downright rude. On several occasions this had happened. Shows the lack of training...,0
Superb place to spend an evening. Beach side single restra. Ample amount of lights and sea wave sounds with deliciously good food. Prawns Fried Rice & Thai Red Curry we had along with local drink - Arrack,1
"The restaurant is situated in a beautiful and a calm place. The staff is very friendly and always available to support you. The food is great and personally I loved it. The liquor is served after 5 pm. The prices are little bit expensive but reasonable. Also, you can go for a walk in the beach as the restaurant is situated adjecent to the beach as well. So that is a bonus point. I recommend this place.",1
Foods is average. They got about one hour to serve fried rice. It also without chillie paste and sause. I dont whats the reason . Before 2years they had suprb service .,0
"Great experience! Excellent customer service and food, located right on the beach.",1
Good place to have a little chilling time. Food is expensive but small in  portion  and not much tasty. But good ambience.,0
View and the atmosphere was so good! Delicious foods & Prices are also reasonable! Great customer service! Friendly staff! Very helpful!,1
"Very good ambience. Great views of the ocean and has a clean beachfront to chill and take a stroll. They serve Alcohol except from 2p.m. to 5.p.m. They also have a happy hour from 5p.m. to 7p.m. so if you are going out to have few drinks and chill out, definitely recommend the place.

Food wise,they have a reasonably priced menu, the one we got was crispy calamari with chillie  sauce.The calamari was itself was good but the sauces were a let down as we got served with tomato ketchup ???? (Not spicy) and their special orange sauce. This one was a joke of sort as they used sunquick as their orange flavor. NOPE. They said they mixed sunquick with the other ingredients to mix the sauce but I honestly felt like they jist served us concentrated sunquick as a sauce. Other than that, it was very nice. Staff is friendly and acommodating. Wold visit again.",1
"Had 2 seafood platters, baked crab and hot butter cuttlefish, a steak and a few other dishes When food is not seasoned properly it's absolutely vile. All the vegetables that came with the food was spoiled. Broccoli zucchini and cauliflower and the mashed potato Probably days old. No stars is not an option here hence the one star. You can done in a five star hotel for the prices they charge. 25 k for rubbish.",0
"Most messed up place ive visited. Walked around for 15 minutes when I got there looking for a place to dine, the waiters dont care and when i finally asked a waiter for help he told me that i should go find the manager and ask him where we should sit? Where in the world does this happen? These guys have no idea what they're doing and look totally lost.. All you see is them running around. Took them 30 minutes just to get us beer mugs, we actually had to walk in the kitchen and get it since we got sick of waiting just on mugs. Seems like the staff got no idea on what they need to do. This place also has no covid precautions, just a tap near the gate. After all this me and my friends just wanted to leave. God knows what goes in their food. You get better service anywhere else guys.",0
"One of my all time favorites. However, during my last visit I felt that the quality of the food is little low than before. But still tasty.",0
Dishes are really good. I prefer Hot butter cuttlefish. Note that prices are higher. Cuttlefish large costed around 1200 LKR without other taxes (Extra taxes around 23%). Liquors are not available you have to bring it from outside.,1
Ambience is super cool for dinners and the food is really good and worth for the price but  the customer service is very very very poor !!! Hope they provide a good customer service  next time.we had to wait hours to get the menu😏,0
This is a great place to have a drink and get some really amazing sea food. Ordered the buttered cuttlefish and curry leaf prawns. And also got Singaporean chill crab and prawn marinara. Really good place to eat as it's on the beach.,1
Really good place to have nice seafood meal. Seating available in the beach itself. Nice ambiance. Good service.,1
"Awesome place to have a drink, have very good food and hang around, you can take your own bottle from outside, no cokeage if you buy food.",1
A beach restaurant with a nice ambience. Cool and shady outdoor dining even during the day time regardless of it being right next to the beach which is mostly exposed to scorching sun. Good food especially sea food and good service.,1
"One of the best seafood restaurants by the beach BYOB food is quite good with lot of cusine choices.crowded usually. Try to reserve a table otherwise you will have to wait. Live music ,sand under your feet. Sea breeze with good food.",1
Great place. However the place can be too crowded at times and might have to stay longer than you expect to place an order,1
"Perfect service and fast food within 15 min after order. This is the only place I experienced in the Colombo suburb that much of speedy service to fulfill our order. Food was also tasty. The one who served us also good gentlemen and did his best to serve us.
Only matter was food prices. Only for 3 of us it cost around LKR 6,500 total with few common meals. Other than that everything was perfect.",1
"The service was above average, the
ambience was very good and the food was palatable.",0
"On behalf of all of us at Businessfocus360, we would like to thank the team at Barracuda Seafood and Grill for a fantastic and memorable evening held on the 10th of April 2021. I can assure you that everyone enjoyed the ambience at the function area and we were thrilled at the overall service given to us by your staff members. Moreover, the food was absolutely delectable and well worth for the price we paid.

We would also like to extend a big thank you out to the manager Mr. Beed, who truly went above and beyond to meet all our specific requirements. Mr. Beed was not only very accommodating but managed to exceed our expectations in terms of executing the function beautifully. Likewise, we would like to extend our appreciation out to Anjana; our waiter for the night as well as the in-house gardener who assisted us with the decorations and the post clean-up. Your efforts will never be forgotten by our team.

We wish team Barracuda nothing but the very best in their future endeavours and we hope to host many more events together with them soon.",1
Had wonderful time and the surrounding was awesome.  Food the Barracuda are really yummy.  But there BBQ was not a real-time one.  That is one concern and then they didn't allow to take excess food which we had paid already.  Other than that everything was fine. They arranged to get us a Karaoke even which was somewhat ok.,1
A knowledgeable service. Fresh and delicious food. Reasonably priced and got many varieties. Worth the wait as the view is great.,1
I am a frequent visitor to this place .Love the new hut on the beach. Menu wise my favourite is salt & pepper cuttlefis and pork belly 😋,1
"Nice place, delicious foods and awesome sea view. Five stars from me and recommend for anyone who thinking or planning for parties or get togethers or day outings.👍🏻",1
"Nice atmosphere, beachfront property , outside dining. Tasty food and good service. Recommended place for a peaceful evening out.",1
"I had awesome dinner with my loved ones. I would really like to visit this place again. I can recommend this place to any body who like to enjoy Delicious food, Live music , Sea view with good customer service.",1
"nice and quite place..for anyone, families, friends, couples. environment is so nice. foods are good. all the things under a reasonable price.
the only thing is, Crows , because it's an almost open area. but no harm.",1
Great place to hang around have a drink and chill by the beach. Quality of foods is good but the portion size for the price is a bit less. Overall good experience.,1
"It was a pleasant evening with fresh sea food and live music.
Foods are tastefully freshly made and try to sizzler corner but get more on thai menu.
Prices are quite moderate but worth for the money.
PS: hot butter cuttlefish was extraordinary.",1
Little bit Expensive. But Nice Environment near the beach. Great Food and Drinks Selection 😋.,1
If you go for lunch expect disturbing flies since seated out near the beach.but great food and ambience.. professional staff !! I would give 4 stars for a dinner out when the flies are sleeping ☺️☺️,0
One of the popular spots on the beach to unwind and have a drink by the water. It’s a BYOB place and food is extremely reasonable and delicious 😋! Great for a romantic dinner with your loved one or for group of friends! Service could be little better but the fact they are always full explains the delay! Total chill spot worth trying out!,1
"Love the food here.Good variety. However, there are lot of flies around. Requested staff to move our food inside. Very helpful staff indeed.",1
"Nice and calm place. Good for friends, families and couples. Food was great. Superb customer service.",1
Nice place to enjoy. Foods are tasty and prices are worth.,1
The fastest food service in Colombo. Great place to drink at sunset. The food's not bad either,1
"Food was good, although not wow. Service was good and fast. My juice tasted of orange gone bad. :(",1
Very good quality food restaurant.  Very good location right on the beach. Very relaxing. The staff friendly. Bar and restaurant.,1
You can enjoy Live music and great food in this place. Recomend to reserve your table before you go,1
The food was good and worth the price. The drinks were not that good. Nice atmosphere.,1
Food tastes good. However the menu has not changed much over the years,1
"I enjoyed the atmosphere!!
Food is really good.
Hot butter cuttle fish tastes good!
Dishes are authentic.
Waiters are friendly but difficult to find them for re-orders as they were too busy due to crowd.
Demand to take beach side chairs.
Bit expensive for budget guys!",1
Super chilled out place for a dinner with boyb. Not the best seafood but amazing abiance.,0
Delicious food. The menu has a big variety of food. Friendly staff. Once I organized a dinner party for about 60 guests and the staff was helpful and gave me a really good service. The setting of the restaurant and the location is nice. Highly recommended.,1
tasty food! and welcoming staff! Seafood grilled platter must try and butter cuttlefish,1
"Chill place in evening time, foods are very delicious, and staff servents also friendly. 🙂",1
"Nice place to hang out with family and friends. Beach outside sitting is available only after 6pm since its a public beach area. Inside sitting is well planned.
Food is good and priced well. Portion quantity was also good. Can bring your own bottles. Overall this is a good place to hang out.",1
"We ordered a small seafood fried rice and a spicy rice chicken for 4 people but one portion is more than enough because they give is huge portions. Crispy prawn balls were nice as a starter and hot butter calamari amazing, others were regular tastes.
We also ordered sex on the beach, Cinderella, virgin Mary and gummy bear. The taste of virgin Mary needs to improve and sex on beach and gummy bear was nice.
We were lucky enough to get a seat outside facing beach. But it's always better to put a reservation if possible before going.",1
Live music and good tasty food on the beach under the trees. Well set up and done nicely. Very energetic place with access to family and youngster,1
Trendy and decent place with great vibes. Staff is attentive and provides an efficient service. Food is absolutely delicious and prepared taking not too long. Customers are allowed to bring in their own booze without being charged for corkage. Prices are moderate.,1
"Great place next to sea. Great for dinner :)
Will enjoy with live dj & sea wind  but they serving too spicy 🌶 😢 better you take ice cream as desert :)",1
"Went for a dinner in February 2019 here. Experience was so good. Has a nice view of the beach. Can access the beach area. Had french fries, prawns and chicken for side dishes. Those were so fresh and tasty. Had sea food rice, noodles and chicken with gravy. Those too were good. Has a good service.",1
Nice cosy seaside restaurant and bar. Great seafood options to go with your drinks.,1
A great place to hangout🖤🔥 Nice and friendly staff with good service.. a great environment for a lovely evening.,1
Food is really good. Even the service is really good. They are having customised options too. Staff is very friendly.,1
Great seafood with variety of choices. Clean and calm environment suitable for any age groups but gets crowded in the weekend so reserve a table beforehand. Beach view is beautiful and you can bring alcohol here they only serve meals and bites and sandy. Perfect place for a romantic dinner by the beach. Affordable prices and portions are pretty big too. I specially likes the malasiyan style sea food noodles and hot butter cuttlefish. Variety of Mocktails available.,1
"It is the best place for everyone to hangout with friends and family....
Service is superb...and there are no body to disturb our free time....",1
"Food is good, but little expensive.
In front of the beach & right beside the Colombo Galle rail track,  therefore make sure to be extra careful. Ortherwise it's ok",1
Baraccuda's service has become meh compared to last year. waiters just give excuses when we request for seating arrangements in distance even when there is no reserved tables neither no much crowd. Most importantly I didn't see they are sanitizing the tables after each use.  They just clean the stuff on the table to ground though a cloth and never see they practice hygiene while working around. I only see a handwashing and a thermometer near entrance with security who direct us to wash hands. but no QR code option... but on the other hand the food prices have gone up which is acceptable if they are practicing the health requirements and service well to maintain the cleanliness. I agree on cost of changes in some food items but not all affect. it was like  unfair when ordering for two. even though we need to order several items we cannot think of it due to the same high flat rate applied to all items. portions are well served for groups but not for two. one of my favorite place but feeling disappointed. not recommended especially during covid spreading environment like this. hope they will improve.,0
"Good location by the sea and dining tables arrange on the beach and under mangrove. Very good place for family dining or with friends. Good live music and perfect atmosphere for a relaxing drink and food. Restaurant doesn’t serve any alcohol drinks but you can take your own drinks with you. There is no corkage only for Beer and wine. If you are visiting the place you need to try hot butter cuttlefish which is one of their specialty
It's recommend that you booked a table prior to your visit because this restaurant is always crowded specially in weekends.",1
"I don’t liked at all, the most important things that the waters are not professional and rude and the food to serve to you table is to late.",0
No that great like those days! Had a very bad experience with the mixed grills recently! Quantity is also very poor for the cost!,0
Food is good and ambience is also good. Clenliness of the facility  specially  washrooms can be improved further.,1
"Highly recommended. Good place to hangout with friends and family.
Good music. Super friendly staff.
They have good cocktails and mocktails",1
The ambience is amazing and the food is good too. This is very nice to dine at nights. There are seats my beach side too.,1
Oh boy this is a bad place to be. They had good food and a stage service. Now it’s extremely bad service and average or eleven lesser food. Orders not take properly.  Late to serve. So the food is cold. It’s bad not recommended to anyone.,0
"Has the sea breeze and calm atmosphere for a dinner. Suitable for large groups of friends or families with kids. Has the basic food, appetisers and rangeb of drinks. Have to reserve tables before ahead to avoid any inconvenience cause the beach area is crowded at any day.",1
Food is good an average service. Since this is an outdoor restaurant they can't avoid the flies 100% but they can reduce by not collecting all the finished plates in one table and keeping them forever,0
"This is the one of best beach restaurant at dehiwala, mount Lavinia, it locates beautiful sea front garden and nice location, specially for birthday party’s , friends get togethers , they are providing good service and delicious food you can Oder many more seafood 🦞 and take tables by the beach and enjoy with evening, also you can bring your own alcohol and beverages. And Oder their delicious bites and food,",1
Very good place to have your dinner with your family and friends. Very taste and very hot food. You can bring alcohol and use it in the restaurant without any charge. Good sea food variety is available. Good mocktail manu is available. Price are reasonable. Very friendly service. View is very good (on the beach). Highly recommended.,1
A really nice place to hang out with your friends and colleagues.. ❤️ Delicious 😋 foods for mid range price.. Awesome live band show 😎🎉  check this place 👍,1
No liquor licenses. Everything else was good. Enjoyed sitting under the trees. Friendly staff and good food.,1
"Very good place to hangout. Staff is very friendly. You have a great choices of meals and drinks you can get (Thai, Chinese, beverages, wine, cocktails, mocktails). Prices are reasonable.",1
One of my favourite place to have a dinner most of the time. Chilling with a beer and feel the sea wind is getting very relaxing feel for end of the day. Also foods are delicious and price is reasonable. Thank you for serving friendly customer care. Hope to visit very soon.,1
"Fantastic food and ambience. Must go for just the seafood and lamb chops. Enjoy the sea breeze while having a drink. In case they are not serving, you can pop in to the Keells nearby and they won't have an issue you having it there. Just perfect.",1
Good place next to the beach. Relaxing. Waiting staff was good and food was delicious.,1
Good place to go dinner outings. Nice place with a good view. Food also good. They have several menus to select. Can recommend.,1
"Nice place for good food on place, where local people used to have dinner, located on the edge of the sand beach. Very nice and helpful waiters. Ratio between price and value is good.",1
"Awesome place to have a chill. They dont have liquoir but beer cans can be brought in free. Liquoir bottles can also be bought in but a charge of 1500 rupees per bottle should be paid. Overall the prices are a bit high, but the background and vibes are just perfect for a tranquil night. The food is also scrumptious along with a variety of delicious drinks. I prefer the ""sex on the beach"" drink which was jist awesome. A jazz musician plays his trumpet to entertain guests and he does it really well.",1
Good place to enjoy but expensive.  Food are OK.,0
"Foods are not up to the standard, we requested fish fillet in Thai sauce but what they bought is Kind of deviled fish",0
Nice place have some drink. But little bit crowded.,0
Delicious food. Nice service. Recommended for dine out.,1
"perfect view,excellent customer service and very tasty food.highly recommend.",1
"Good place to have Beach side dinner
They have good mocktails and seafood platters",1
Loved the Hot butter cuttlefish. Highly recommended. No corkage if u buy the bites in-house. The price of 25ml tequila was around 315 per shot but on the bill it was charged 500 per short. Not sure how 10% services charge makes 315rs to 500rs 😒,1
Ordered a Cherry Cola mocktails and the spicy seafood rice. Food and drinks was good however service was poor. We had to wait nearly 30 minutes until a waiter noticed us and we could give our order. And even afterwards it took another 15 minutes to bring the drinks (2 beers included),0
"I have been here several times, and keep going back for more. Love the ambience the menu the staff and the service. Great place to hangout with friends, specially after work.",1
"Nice location, Tasty food but the problem was poor customer service. They have not enough staff to serve to customers.",1
"Dined yesterday (28th), as usual the food was scrumptious. Good service. Great entertainment too. Loved the band.",1
Great place to enjoy the evening with beach restaurant.,1
"Worst at everything
Customer service is so low they took one hour to bring a water bottle and the seafood rice was a junk and do double check the bill before paying, they add extra meals for the bill without even serving !",0
Ita always the best veiw and great tasting meals love the layouts and people who serve you with pleasure,1
Good restaurant near beach... best for night... tasty food...  high price but it's some worth.... high class look and friendly service.... I'm happy about that place 😊😊,1
Good place to hang out. My favourite place. Good food.,1
Excellent food and service. Choose the table on the beach ( sandy area ) and not inside. It's more relaxing outside with the breeze.,1
The music was very nice and the waiter Roshan was very friendly and good,1
"The food was amazing. We ordered Nasi Goreng it was a big portion but the taste was fantastic and we also ordered Chicken Alfredo Pasta which was very creamy and delicious.
Alcohol is slightly higher priced but over all a great and memorable experience.
Waiters were really humble and professional service was given.
Best to go as a group of friends or for a nice romantic date night😁",1
One of the best places for sea food lovers. Super tasty foods to enjoy.,1
"Awesome place next to the beach, good food, huge portion size... Service is a tad bit slow though",1
